"time","newFlash"
"18:50","חוף הכרמל ומטה אשר בהודעות לתושבים: ""להיות ערניים ולשהות במרחבים מוגנים"""
"18:49","נתניהו בהערכת מצב בקריה"
"18:45","פיקוד העורף מבהיר: לשהות במרחב מוגן עד הודעה חדשה"
"18:39","האזעקות בכרמל: חמאס לקח אחריות לירי"
"18:39","אזעקות גם בעפולה ובקריות"
"18:32","אזעקות בכרמל, חשש לחדירת מחבלים בגליל העליון"
"18:30","על כלל תושבי הצפון להיכנס למרחבים ממוגנים עד להודעה חדשה"
"18:22","התרעות בצפון על חשש לחדירה אווירית מלבנון"
"18:20","פיקוד העורף: חשש לחדירת כלי טיס בטבריה, בית שאן וצפת"
"18:16","אחרי הקמת ממשלת החירום אוחנה הודיע: מחר ב-19:00 פתיחת המליאה"
"18:13","בכיר בבית הנבחרים האמריקני: ""מצרים הזהירה את ישראל 3 ימים לפני המלחמה"""
"18:3","אזעקות באשדוד ובבאר שבע"
"18:1","נתניהו שוחח עם ביידן בפעם הרביעית: ""הודה על דברי התמיכה העוצמתיים"""
"17:56","פיקוד העורף: חשד לחדירת כלי טיס בגליל"
"17:42","חשש לאירוע ביטחוני באשקלון"
"17:37","שר הבריאות לנתניהו: לא נטפל במחבלים במערכת הציבורית"
"17:35","דיווח פלסטיני: 3 הרוגים בעימותים עם מתנחלים בשומרון"
"17:34","תוארך כהונת נגיד בנק ישראל"
"17:28","כ-100 פסיכולוגים ואנשי מקצוע התייצבו לסייע למשפחות החטופים והנעדרים"
"17:24","מלך בריטניה גינה את מתקפת הפתע על ישראל: ""מבועת ממעשי הטרור הברבריים"""
"17:16","בית ספר נפגע בשדרות, אין נפגעים"
"17:14","חילופי אש כבדים ליד זיקים: חוליית מחבלים חוסלה"
"17:9","השר כהן ושר החוץ של בריטניה ביקרו באופקים"
"17:5","ליברמן: ""כל דבר פחות מחיסול חמאס, לא יביא את התוצאה הרצויה"""
"17:2","אזעקות באשקלון ובעוטף עזה"
"16:59","ממשלת החירום: הח""כים טרופר ושאשא ביטון יצטרפו לקבינט"
"16:56","אזעקות באשקלון, שדרות ועוטף עזה"
"16:50","השר לוין: ""הקמת ממשלת החירום הייתה הכרחית - מכאן פועלים יחד"""
"16:43","נתניהו וגנץ הודיעו רשמית: יש ממשלת חירום"
"16:39","השר זוהר: ""יש ממשלת אחדות"""
"16:37","נערכים להמשך: מטופלים מועברים מבתי חולים בצפון למרכז"
"16:33","רס""מ יקיר בלוכמן נפל בקרב בקיבוץ רעים, מניין חללי המשטרה עלה ל-44"
"16:28","חשש לאירוע ביטחוני באשכול: הוראה לתושבים להיכנס למרחבים מוגנים"
"16:25","כוחות ההנדסה של צה""ל פועלים לאיטום הפירצות בגדר הגבול עם רצועת עזה"
"16:21","גנץ ונתניהו סיכמו על הקמת ממשלת חירום. ההודעה - בקרוב"
"16:19","אזעקות בתל אביב ובגוש דן"
"16:15","פרסום ראשון: נותק החשמל באגפים הביטחוניים בבתי הכלא"
"16:11","אזעקות באשקלון"
"16:9","מטח הרקטות לשפלה: 4 פצועים באורח קל - נחבלו בדרכם לממ""ד"
"16:2","שר הבריאות מגלגל אחריות לצה""ל: ""הם מעבירים מחבלים לבתי חולים"""
"16:0","אזעקות באשדוד ובעוטף עזה"
"15:59","אזעקות באשקלון ובעוטף עזה"
"15:50","הקבינט הוקדם ל-17:00"
"15:43","משרד הבריאות חושש מלינץ' במחבלים המאושפזים בישראל"
"15:41","אזעקה נשמעה גם בנתב""ג"
"15:34","עקב המלחמה: מוקד סיוע בנוגע לחיות מחמד וכלל בעלי החיים במספר 6016*"
"15:30","אזעקות בשפלה ובגוש דן"
"15:19","גרמניה: חברי הפרלמנט עמדו לדקת דומייה לזכר הנרצחים בישראל"
"15:3","אזעקות באשקלון ובעוטף עזה"
"15:1","הרמטכ""ל בפיקוד הדרום: ""בכל מקום שיש מנהיגי חמאס - צה""ל תוקף מדויק וחזק"""
"14:48","מד""א: 6 נפצעו קל מרסיסים במטח לאשקלון"
"14:45","תחנת הכוח בעזה הושבתה לחלוטין, אין יותר חשמל ברצועה"
"14:44","הירי במחסום המנהרות בי-ם: שב""ח עצור תקף לוחמים לאחר שהשתחרר מאיזוק - ונוטרל"
"14:36","אחרי דיווחים שהתנגדה לצירוף גנץ, שרה נתניהו פרסמה הודעה: ""אחדות היא צו השעה"""
"14:33","משרד החינוך: אין לימודים עד יום ראשון, לאחר מכן ישובו ללמידה מרחוק"
"14:26","צעיר וגבר מטייבה נעצרו לאחר ששיבחו את מתקפת הטרור של חמאס ברשתות החברתיות"
"14:12","בגלל המלחמה: משרד הפנים מבקש לדחות את הבחירות המקומיות ב-3 חודשים"
"14:8","פיקוד העורף: התרעת ""חדירת כלי טיס עוין"" באשדוד, במקביל לאזעקות בעוטף"
"14:2","ראשוני: ישראלי נפצע מירי ליד ירושלים"
"13:54","שני פצועים קל במטח לאשקלון"
"13:51","פיקוד העורף: התרעת ""חדירת כלי טיס עוין"" בעוטף עזה"
"13:44","צבע אדום בעוטף עזה"
"13:43","מד""א: כמה זירות של נפילות באשדוד ואשקלון"
"13:29","הירי נמשך: אזעקות נוספות בעוטף עזה ובאשקלון"
"13:24","אזעקות באשקלון ובעוטף עזה"
"13:8","ארדואן על התקיפות בעזה: ""ישראל לא מתנהגת כמו מדינה"""
"13:2","הקרייה האקדמית אונו תשעה 5 סטודנטים עקב תמיכה בחמאס"
"12:54","צה""ל: תקפנו עמדת תצפית של חיזבאללה בתגובה לירי הנ""ט"
"12:50","הפלסטינים: יותר מאלף הרוגים בעזה מתחילת המלחמה"
"12:47","צבע אדום בעוטף עזה"
"12:45","נשיא דרום קוריאה וסנאטורים אמריקנים בגינוי משותף נגד חמאס"
"12:40","צה""ל: האזעקה בצפון הופעלה עקב ירי כוחותינו, לא זוהו שיגורים לעבר ישראל"
"12:34","הצלב האדום: על ישראל וחמאס לנקוט כל צעד אפשרי כדי למנוע פגיעה נוספת באזרחים"
"12:30","בריטניה: חשש ש-17 מאזרחינו, בהם ילדים, נהרגו במתקפת חמאס"
"12:21","שיקלי נגד בן גביר: שומר חומות 2? ערביי ישראל מפגינים סולידריות ואחריות רבה"
"12:12","אזעקות בעוטף עזה ובאשקלון"
"12:2","צבע אדום בנגב המערבי"
"11:57","אזעקה בצפון"
"11:44","צה""ל תקף את האוניברסיטה האיסלאמית בעזה, שם מוכשרים מהנדסי חמאס"
"11:39","חיזבאללה לקח אחריות על ירי הנ""ט לעבר ישראל"
"11:27","צבע אדום בעוטף עזה"
"11:25","החלה הפגישה בין גנץ לנתניהו"
"11:13","התאחדות הסטודנטים למל""ג: ""הרחיקו לאלתר כל סטודנט שמביע תמיכה בטרור"""
"11:6","צה""ל תוקף בשטח לבנון בעקבות שיגור טיל הנ""ט"
"11:1","משרד הבריאות: הושעתה אחות שהביעה תמיכה בטבח שביצע חמאס בעוטף"
"10:50","צה""ל נערך לתקיפה בלבנון עקב ירי הנ""ט"
"10:46","דובר צה""ל: נשלל החשש לחדירה לראש הנקרה ולירי מרגמות"
"10:42","צבע אדום בעוטף עזה"
"10:36","חשש לחדירה ליד ראש הנקרה וירי מרגמות בגליל המערבי"
"10:35","צה""ל: זוהה ירי נ""ט לעבר עמדה צבאית בגבול לבנון, יישובים התבקשו להיכנס לממ""ד"
"10:30","בלבנון מדווחים: כמה טילים נורו לכיוון שטח ישראל"
"10:30","דובר צה""ל: ""מסרנו הודעות למשפחות של 60 חטופים"""
"10:21","משרד הבריאות: 3,007 פצועים פונו לבתי החולים מתחילת המלחמה"
"10:17","חשד להיתקלות עם מחבלים בשדרות בזמן ביקור בן גביר"
"10:14","הרווארד ואוניברסיטת ניו יורק גינו והתנערו מסטודנטים שהביעו תמיכה בחמאס"
"10:2","בכיר בממשלה על הצהרת בן גביר: ""פוגע בביטחון המדינה כדי לסחוט כותרות"""
"9:59","בן גביר: ""לדעתי תרחיש של שומר חומות 2 הוא בפתח"""
"9:44","ארה""ב: 20 מאזרחינו נעדרים, מעריכים שחלקם נחטפו לעזה"
"9:29","פגיעות ישירות מהמטח האחרון בשדרות, גבר נפצע בינוני"
"9:23","תקרת הכספים ב-PayBox הוכפלה לתמיכה ביוזמות האיסוף עבור האזרחים וכוחות הביטחון"